ko,en
너의 삶은 너의 선택만이 정답이야.,Your choice is the answer to your life.
인터넷을 사용할수록 너의 사생활이 노출되기 쉽다.,"The more you use the internet, the more your privacy is exposed."
다른 여자들이 나한테 이걸 말했어.,Other women told me this.
어제는 스노보드 동호회 모임이 있었습니다.,There was a snowboarding club meeting yesterday.
우리는 스키 동아리에서 같이 활동하면서 언제나 훈련 캠프와 연습 때도 함께 했어요.,We always worked together in the ski club and in the training camps and practices.
내일 도시락을 가져가야 하나요?,Do I have to take my lunch tomorrow?
입술에도 선크림을 발라주어야 합니다.,You should apply sunblock on your lips as well.
미세먼지 수치가 높아지는 환경으로 인해 실내 공기를 환기하는 데에 큰 어려움을 겪는다.,"With the environment that increases the level of fine dust, it is difficult to clean the indoor air."
소년이 2주 되는 날 우리는 다시 솔직한 이야기를 나눴으면 좋겠어.,It would be nice if we could talk about it again on the day the boy is 2 weeks old.
이것 외에도 온라인 쇼핑의 장점은 많습니다.,"Outside of this, there are many advantages of online shopping."
오늘은 무슨 얘기를 해볼까요?,What are we going to talk about today?
나 작년에 여기 왔었던 게 기억나.,I remember I came here last year.
인천 중구 을왕동 산 143-1번지입니다.,"This is a place 143-1, Eulwang-dong, Jung-gu, Incheon."
내가 똑같은 아픔을 겪어보지 않는 이상 얼마나 아픈지 크게 와 닿지 않는다.,It doesn't come to my head to see how painful it is even though I have experienced the same pain.
이 편지가 이제 우리의 소식통이 될지도 몰라.,This letter might be our news source.
"1, 2등과 다르게 상품은 없었지만 그래도 3등이라는 좋은 성적을 거두었습니다.","With the exception of the 1st and 2nd place, the prize was not awarded, but the 3rd place was a good result."
내가 어차피 형인데 뭘 어쩌겠어.,It's because I'm a sibling.
당신은 당신의 자녀를 어떻게 양육할 겁니까?,How will you raise your child?
난 널 생각하면서 30년이 지나갔다.,It has been 30 years since I thought of you.
세계 일주를 계획하고 있어요.,I'm planning to travel around the world.
"나는 놀이기구를 잘 못타서, 애먹었어.","I couldn't get on the ride well, so I had a hard time."
그들은 중국에 가기를 원했지만 그럴 수 없었습니다.,"They wanted to go to China, but they couldn't."
우리가 보내주는 원단을 확인하고 당신이 가격 및 궁금한 게 있으면 회신 부탁합니다.,"Please check the fabric we are sending and if you have any questions, please reply to us."
"녹은 구이레 치즈를 얹은 빈 바게트, 과일 위에 순한 체더 치즈를 얹었습니다.","The empty baguette with green chili cheese, and the cheddar cheese on the fruit."
관광 가이드로서 많은 사람의 여행을 행복하게 해 주며 20년 후의 오늘을 보내고 있길 바랍니다.,We hope you to enjoy your trip as a tour guide and spend the day in 20 years in the future.
이 사진은 전혀 당신을 닮지 않았어요.,This picture doesn't resemble you at all.
내가 올린 내용을 자세히 봤어요?,Did you see the details of what I uploaded?
나는 활발한 성격답게 신나는 노래를 좋아해요.,I like exciting songs because I am an active person.
내 취미는 음악 감상이고 내 꿈은 사회복지사야.,My hobby is listening to music and my dream is to become a social worker.
기대했던 것만큼 맛있어서 나름 만족했습니다.,It was as delicious as I expected.
요즈음은 사용 설명서도 영어로 되어 있는 게 많아요.,There are a lot of used manuals in English these days.
라이선스 획득 기간은 얼마나 걸리나요?,How long does it take to acquire the license?
"인터넷 실명제를 사용하지 않는 현재에도, 개인 정보가 유출되고 있습니다.",People's personal information is being leaked even though they don't use the internet real-name system.
우리가 한 달에 한 번을 만나도 나는 괜찮습니다.,It's okay that we meet once a month.
저는 16살 파워레인저 캡틴포스 입니다.,I'm a 16-year-old Power Ranger Captain Pose.
나는 18시간을 집에서 오지 않을 직원들을 기다렸습니다.,I waited for employees who would not come home for 18 hours.
이 방법은 안전상의 문제가 우려되요.,This method is concerned about safety issues.
오늘 아침 치료가 정상적으로 종료된 후 전원을 껐어요.,"This morning, after the treatment is over, I turned off the power."
사실은 부족한 게 하나도 없어.,There is nothing wrong with it in fact.
그는 스페인을 가보고 싶게 만들었습니다.,He made me want to visit Spain.
"구체적으로 보육교사의 직업 선택 동기가 보육 교사의 내재적, 외재적 직무 만족에 영향을 끼칩니다.","Specifically, the motivation for a childcare teacher's career choice affects the satisfaction of childcare teachers' internal and external job satisfaction."
6년 전 저는 사랑하는 남자와 4년 연애 후 결혼을 했습니다.,I got married to my beloved man after 4 years of dating 6 years ago.
그들은 우리한테 그걸 왜 먹었냐며 항의 전화를 했어요.,They called us and asked why we ate it.
저는 술을 시키지 않았습니다.,I didn't let you drink.
이전의 운임을 근거로 우리가 계산하는 것이 좋겠다.,It would be better if we calculate based on the previous fare.
나는 그의 우승 소식에 깜짝 놀랐습니다.,I was surprised to hear his victory.
그는 한국과 에티오피아는 매우 다르다고 했습니다.,He said that Korea and Ethiopia are very different.
그래서 몇년 후 지상직 승무원이 되었다는 가정하에 여러분에게 제 업무에 대해 말해보려고 합니다.,This is why I am going to tell you about my work as I became a ground crew a few years later.
"소나 돼지의 머리 부분에 있는 고기로 주로 국밥이나, 탕, 수육, 편육 등의 재료로 쓰입니다.","People use it as a meat on the head of a cow or a pig, and it is mainly used as a dish for soup, soup, and stir-fried food."
선진국들이 개발도상국을 위해 더 많은 방법을 연구해야 할 것 같습니다.,It seems that advanced nations should research more ways to help developing nations.
나는 나의 전공 특성에 맞는 은행원이란 직업을 원하게 되었습니다.,I wanted to have a job that fits my specialty.
이 인더스트리에서 일한 지는 10년이 되었고 브랜드매니저 이전에는 세일즈팀에 있었습니다.,They have been working in this estate for 10 years and they were in the sales team before the brand manager.
그러면서도 그는 그녀를 소중히 여겨요.,But he takes her preciously.
거기에 화요일이라면 그날 당신의 일기장엔 실패란 단어는 존재하지 않게 되지.,"With that, if it is Tuesday, there will be no word of failure in your diary on that day."
배우는 많은 역할을 맡습니다.,The actor plays many roles.
물건이 또 이런 식으로 온다면 저는 당신과 거래하지 않겠습니다.,"If the product comes again like this, I won't trade with you."
